mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__max_depth,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.40577999750773114,0.013095340492587447,0.10433816909790039,0.014057516296380088,4,100,"{'clf__max_depth': 4, 'clf__n_estimators': 100}",0.819327731092437,0.8312236286919831,0.8185654008438819,0.823038920209434,0.005795824736261964,12
0.6318767070770264,0.010708331944984197,0.1406229337056478,0.01381577793674204,4,200,"{'clf__max_depth': 4, 'clf__n_estimators': 200}",0.819327731092437,0.8312236286919831,0.8270042194092827,0.8258518597312343,0.004924364225996811,3
0.9248926639556885,0.03832755516622827,0.16407903035481772,0.0071986592534480365,4,300,"{'clf__max_depth': 4, 'clf__n_estimators': 300}",0.8235294117647058,0.8354430379746836,0.8227848101265823,0.827252419955324,0.005799613524719743,1
1.1584986050923665,0.028882770392254228,0.22792800267537436,0.014210792907244368,4,400,"{'clf__max_depth': 4, 'clf__n_estimators': 400}",0.819327731092437,0.8312236286919831,0.8185654008438819,0.823038920209434,0.005795824736261964,12
0.38044118881225586,0.0022221750170879316,0.12205862998962402,0.00827287436527061,5,100,"{'clf__max_depth': 5, 'clf__n_estimators': 100}",0.819327731092437,0.8185654008438819,0.8270042194092827,0.8216324504485338,0.00381114271382519,15
0.5892148812611898,0.021308314780636967,0.18183660507202148,0.025587502284719406,5,200,"{'clf__max_depth': 5, 'clf__n_estimators': 200}",0.8235294117647058,0.8270042194092827,0.8270042194092827,0.8258459501944238,0.0016380400325327685,4
0.9167629877726237,0.03977830297035926,0.2042849858601888,0.025845358592475654,5,300,"{'clf__max_depth': 5, 'clf__n_estimators': 300}",0.8235294117647058,0.8185654008438819,0.8354430379746836,0.8258459501944238,0.007082298191125252,4
1.1126976013183594,0.012286545063857747,0.19635550181070963,0.019271264036330022,5,400,"{'clf__max_depth': 5, 'clf__n_estimators': 400}",0.8235294117647058,0.8227848101265823,0.8354430379746836,0.827252419955324,0.005799613524719743,1
0.38080088297526044,0.0014351136212360262,0.1303537686665853,0.031754625450841095,6,100,"{'clf__max_depth': 6, 'clf__n_estimators': 100}",0.8277310924369747,0.8185654008438819,0.8270042194092827,0.8244335708967131,0.004160020106225901,10
0.6389588514963785,0.013533264537180225,0.15556025505065918,0.03249067913175941,6,200,"{'clf__max_depth': 6, 'clf__n_estimators': 200}",0.8319327731092437,0.8143459915611815,0.8312236286919831,0.8258341311208027,0.008128498604996072,8
0.8354729811350504,0.012631834322425832,0.15866883595784506,0.004905489105459158,6,300,"{'clf__max_depth': 6, 'clf__n_estimators': 300}",0.8277310924369747,0.8185654008438819,0.8312236286919831,0.8258400406576132,0.005337898505827993,7
1.363864580790202,0.016101370642997125,0.151930570602417,0.01454854116963739,6,400,"{'clf__max_depth': 6, 'clf__n_estimators': 400}",0.8361344537815126,0.8143459915611815,0.8227848101265823,0.8244217518230922,0.008970096806241978,11
0.38132111231486004,0.024552321025248826,0.12141633033752441,0.003096515227776114,7,100,"{'clf__max_depth': 7, 'clf__n_estimators': 100}",0.8319327731092437,0.8016877637130801,0.8312236286919831,0.8216147218381024,0.014093461049683606,16
0.683509349822998,0.04506520780356546,0.12644592920939127,0.01323159296102511,7,200,"{'clf__max_depth': 7, 'clf__n_estimators': 200}",0.8361344537815126,0.8143459915611815,0.8270042194092827,0.8258282215839924,0.008933886785549178,9
0.7868531545003256,0.0121900555148031,0.09580167134602864,0.0008765459700155417,7,300,"{'clf__max_depth': 7, 'clf__n_estimators': 300}",0.8277310924369747,0.810126582278481,0.8396624472573839,0.8258400406576133,0.012131883273346746,6
0.9284400145212809,0.022161194277730622,0.08038218816121419,0.0009699793048591506,7,400,"{'clf__max_depth': 7, 'clf__n_estimators': 400}",0.8319327731092437,0.8016877637130801,0.8354430379746836,0.8230211915990026,0.015152928185211634,14
