mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__max_depth,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.296952486038208,0.015921120300055477,0.07852522532145183,3.418700366018707e-05,4,100,"{'clf__max_depth': 4, 'clf__n_estimators': 100}",0.819327731092437,0.8312236286919831,0.8227848101265823,0.8244453899703341,0.004996414647046275,4
0.4496042728424072,0.02197954548072061,0.08464646339416504,0.010013308704946116,4,200,"{'clf__max_depth': 4, 'clf__n_estimators': 200}",0.8235294117647058,0.8312236286919831,0.8185654008438819,0.8244394804335237,0.005207613132077823,5
0.28273534774780273,0.005231032823435133,0.0795145034790039,0.0006462767644389723,5,100,"{'clf__max_depth': 5, 'clf__n_estimators': 100}",0.8277310924369747,0.8312236286919831,0.8227848101265823,0.8272465104185134,0.003462131279467424,3
0.5732606252034506,0.0792951209110825,0.10419551531473796,0.0198800876534118,5,200,"{'clf__max_depth': 5, 'clf__n_estimators': 200}",0.819327731092437,0.8270042194092827,0.8396624472573839,0.8286647992530346,0.00838424373215796,1
0.7356514930725098,0.3930230785497033,0.17689013481140137,0.04052725062184332,6,100,"{'clf__max_depth': 6, 'clf__n_estimators': 100}",0.819327731092437,0.810126582278481,0.8396624472573839,0.823038920209434,0.012340219433748167,6
0.5905834833780924,0.03977479038040566,0.13581649462381998,0.037253665560398344,6,200,"{'clf__max_depth': 6, 'clf__n_estimators': 200}",0.8277310924369747,0.8227848101265823,0.8354430379746836,0.8286529801794136,0.005208652469424026,2
0.34740718205769855,0.03205163042606853,0.09994037946065266,0.006988122574094485,7,100,"{'clf__max_depth': 7, 'clf__n_estimators': 100}",0.8319327731092437,0.8059071729957806,0.8312236286919831,0.8230211915990026,0.012104901101474027,7
0.5177397727966309,0.0162380799309962,0.11075417200724284,0.012749530151975497,7,200,"{'clf__max_depth': 7, 'clf__n_estimators': 200}",0.8319327731092437,0.8059071729957806,0.8312236286919831,0.8230211915990026,0.012104901101474027,7
